Seven's Game - High
Expectation
Min,Max
0.728217232,1.000837228
							
Base Game
Total Combination,1145154,Expectation,0.449917653
Symbol,Reel1,Reel2,Reel3
S1,8,8,8
S2,21,20,20
S3,27,27,27
B1,0,0,6
BL,47,47,48

Pay Combination,Reel1,Reel2,Reel3,Hits,Pay,Total Pay,Probability
S1 S1 S1,8,8,8,512,100,51200
S2 S2 S2,21,20,20,8400,10,84000
S3 S3 S3,27,27,27,19683,5,98415
SX SX SX,56,55,55,140805,2,281610
XX XX B1,103,102,6,63036,,,0.055045872

Bonus Game
Type,Option,Multiplier,Count,Total Count,Multiplier*Total Count,Total Pay,Total Expectation
A,1,12,1,1.058252427,12.69902913,5.71351738,0.764423197
A,2,6,2,2.24742268,13.48453608,6.066930826,0.783877148
A,3,4,3,3.593406593,14.37362637,6.466948243,0.805896455
A,4,3,4,5.129411765,15.38823529,6.923438707,0.831024371
A,5,2,6,8.95890411,17.91780822,8.061538221,0.89367205
B,1,5,2,2.24742268,11.2371134,5.055775688,0.728217232
B,2,2,5,6.898734177,13.79746835,6.207724579,0.791627263
B,3,1,10,22.24489796,22.24489796,10.00837228,1.000837228

